站号,站名,省名,纬度,经度,海拔高度,日照时数,日照距平,同期对比,历史值,去年值
53956,万荣,山西,35.40,110.8333,588.40,7.80,2.60,6.90,5.20,0.90
53957,河津,山西,35.6167,110.7167,459.20,8,3.30,8,4.70,0
53958,临猗,山西,35.1333,110.7833,387.90,6.50,1.80,5.30,4.70,1.20
53959,运城,山西,35.05,111.05,365,7.30,2.30,2.30,5,5
53961,曲沃,山西,35.65,111.4833,472.60,7.10,1.50,7.10,5.60,0
53962,翼城,山西,35.7333,111.70,584.50,7.50,1.90,7.50,5.60,0
53963,侯马,山西,35.65,111.3667,433.80,7.30,2.30,7.30,5,0
53964,新绛,山西,35.6167,111.2167,430.80,7.50,2.30,7.50,5.20,0
53965,绛县,山西,35.5167,111.5667,761,5.90,0.30,5.90,5.60,0
53966,浮山,山西,35.9833,111.8333,817.20,7.10,1.90,7.10,5.20,0
53967,闻喜,山西,35.3333,111.20,468.30,7.10,1.60,5,5.50,2.10
53968,垣曲,山西,35.2833,111.6667,505,6.50,1.20,1.30,5.30,5.20
53970,沁水,山西,35.70,112.20,887.30,7.40,0.80,7.40,6.60,0
53972,沁阳,河南,35.1167,112.9167,119.60,0,-4.90,0,4.90,0
53973,高平,山西,35.7667,112.95,837.30,7.40,1.30,7.40,6.10,0
53974,淇县,河南,35.6167,114.1833,72.30,0,-4.80,0,4.80,0
53975,阳城,山西,35.4833,112.40,659.50,5.80,-0.50,-0.90,6.30,6.70
53976,晋城,山西,35.50,112.8667,752.60,3.40,-2.70,-3.50,6.10,6.90
53978,济源,河南,35.0833,112.6333,140.10,0,-4.30,0,4.30,0
53979,博爱,河南,35.15,113.0833,120,0,-4.80,0,4.80,0
53980,肥乡,河北,36.55,114.80,50.20,0,-6,0,6,0
53981,陵川,山西,35.7833,113.2667,1311.60,6.50,0.30,0.70,6.20,5.80
53982,焦作,河南,35.2333,113.2667,112,0,-4.90,0,4.90,0
53983,封丘,河南,35.0333,114.4167,69.60,0,-4.50,0,4.50,0
53984,修武,河南,35.2333,113.4667,82.70,3.10,-1.80,3.10,4.90,0
53985,辉县,河南,35.50,113.8167,140.70,0,-4.10,0,4.10,0
53986,新乡,河南,35.3167,113.8833,73.20,0,-5.10,0,5.10,0
53987,武陟,河南,35.10,113.4167,91,0,-5,0,5,0
53988,获嘉,河南,35.2667,113.6667,77.60,0,-4.80,-2.10,4.80,2.10
53989,原阳,河南,35.05,113.95,76.60,0,-4.70,0,4.70,0
53991,汤阴,河南,35.9167,114.3333,93,0,-5,0,5,0
53992,浚县,河南,35.65,114.5167,58.20,0,-4.80,0,4.80,0
53993,内黄,河南,35.9333,114.9167,51.60,1.20,-3.90,1.20,5.10,0
53994,卫辉,河南,35.3833,114.0667,70,0,-5,-2.10,5,2.10
53995,滑县,河南,35.55,114.50,62.50,0,-4.40,0,4.40,0
53996,成安,河北,36.45,114.65,57.90,2.50,-2.70,2.50,5.20,0
53997,延津,河南,35.15,114.1833,71.10,0,-5.10,0,5.10,0
53998,长垣,河南,35.20,114.65,61.60,0,-5.10,0,5.10,0
54012,西乌珠穆沁,内蒙古,44.5833,117.60,1001.70,6.80,-0.30,-0.70,7.10,7.50
54024,富河,内蒙古,44.45,119.30,710,8.30,0.50,2.50,7.80,5.80
54026,扎鲁特,内蒙古,44.5667,120.90,265,8.20,0.70,0.10,7.50,8.10
54027,巴林左旗,内蒙古,43.9833,119.40,486.20,7.90,-0.20,-0.60,8.10,8.50
54031,高力板,内蒙古,44.90,121.8167,198.30,7.80,0.30,-0.10,7.50,7.90
54039,舍伯吐,内蒙古,44.0333,122.0167,181.60,7.80,0.20,-0.20,7.60,8
54041,通榆,吉林,44.80,123.0667,150,7.30,0,1.90,7.30,5.40
54047,科左中旗,内蒙古,44.1333,123.2833,145.80,7.20,-0.50,-1.30,7.70,8.50
54049,长岭,吉林,44.25,123.9667,188.90,6.50,-0.50,-1.40,7,7.90
54063,扶余,吉林,44.9667,126,196.80,5.60,-0.40,-2,6,7.60
54064,农安,吉林,44.3833,125.15,170.20,3.60,-3,-3.90,6.60,7.50
54065,德惠,吉林,44.5333,125.65,169.10,1.80,-4.50,-6,6.30,7.80
54069,九台,吉林,44.1667,125.80,174.50,0,-6,-7.90,6,7.90
54072,榆树,吉林,44.85,126.5167,196.50,5.60,-0.90,-1.70,6.50,7.30
54076,舒兰,吉林,44.3833,126.9333,268.10,0,-5.60,-8.30,5.60,8.30
54080,五常,黑龙江,44.90,127.15,194.60,0,-5.70,-7,5.70,7
54092,海林,黑龙江,44.60,129.40,292.10,0,-5.50,-8.50,5.50,8.50
54093,穆棱,黑龙江,44.9333,130.55,266.30,0,-6.50,-7.80,6.50,7.80
54094,牡丹江,黑龙江,44.5667,129.60,241.40,0,-5.90,-7.50,5.90,7.50
54096,绥芬河,黑龙江,44.3833,131.1667,567.80,0,-6.10,-7.90,6.10,7.90
54098,宁安,黑龙江,44.3333,129.4667,267.90,0,-6.40,-7.70,6.40,7.70
54099,东宁,黑龙江,44.0833,131.1333,148.60,0,-6.10,-8,6.10,8
54102,锡林浩特,内蒙古,43.95,116.1167,1003,7.50,0,0.40,7.50,7.10
54113,巴林右旗,内蒙古,43.5333,118.65,621.40,8.50,0.80,0.20,7.70,8.30
54115,林西县,内蒙古,43.6333,118.0333,825,8.50,1.40,0.20,7.10,8.30
54117,克什克腾旗,内蒙古,43.25,117.5333,1003.30,8.60,1,0.70,7.60,7.90
54122,阿鲁科尔沁旗,内蒙古,43.8833,120.05,374.90,8.70,0.50,-0.30,8.20,9
54132,青龙山,内蒙古,42.40,121.0667,400,8.10,0.30,-0.20,7.80,8.30
