站号,站名,省名,纬度,经度,海拔高度,降水量,降水距平,同期对比,历史值,同期值
57743,麻阳,湖南,27.8833,109.80,176.60,0,0,-10,0,10
57744,新晃,湖南,27.3667,109.1667,355.50,0,0,-4,0,4
57745,芷江,湖南,27.45,109.6833,272.20,0,0,-5,0,5
57749,怀化,湖南,27.5667,110,257.80,0,32766,-9,32766,9
57752,溆浦,湖南,27.9167,110.60,204,0,0,-3,0,3
57754,洪江,湖南,27.35,110.15,170.90,0,-1,-6,1,6
57758,洞口,湖南,27.0667,110.5833,323.50,0,-1,-7,1,7
57760,冷水江,湖南,27.70,111.4333,249.20,0,0,-6,0,6
57761,新化,湖南,27.75,111.30,211.90,0,-1,-4,1,4
57762,涟源,湖南,27.6833,111.70,165,0,0,-5,0,5
57763,娄底,湖南,27.6833,112,205.80,0,0,-3,0,3
57766,邵阳市,湖南,27.1833,111.45,311,0,-1,-4,1,4
57767,隆回,湖南,27.1333,111,308.40,0,-1,-5,1,5
57768,新邵,湖南,27.3167,111.45,242.50,0,-1,-3,1,3
57769,邵东,湖南,27.2333,111.7333,252.60,0,-1,-7,1,7
57771,韶山,湖南,27.9333,112.5333,88.30,0,0,-6,0,6
57772,湘乡,湖南,27.75,112.50,86.90,0,0,-6,0,6
57773,湘潭,湖南,27.8667,112.8167,63.80,0,-1,-7,1,7
57774,双峰,湖南,27.45,112.1667,100,0,-1,-4,1,4
57776,南岳,湖南,27.30,112.70,1265.90,0,-2,-4,2,4
57777,衡山,湖南,27.2333,112.8667,63.30,0,-1,-5,1,5
57778,衡东,湖南,27.10,112.95,70.30,0,-1,-4,1,4
57779,攸县,湖南,27,113.35,102.50,0,-2,-2,2,2
57780,株洲,湖南,27.8667,113.1667,74.60,0,-1,-5,1,5
57781,醴陵,湖南,27.65,113.50,74.40,0,-1,-9,1,9
57783,上栗,江西,27.8833,113.8167,119.50,0,32766,-11,32766,11
57786,萍乡,江西,27.6333,113.85,117.50,0,-1,-6,1,6
57789,莲花,江西,27.1333,113.95,194.50,0,-2,-2,2,2
57792,分宜,江西,27.8167,114.6833,93.70,0,-1,-10,1,10
57793,宜春,江西,27.80,114.3833,131.30,0,-1,-4,1,4
57794,芦溪,江西,27.6333,114.0167,177.20,0,32766,-6,32766,6
57796,新余,江西,27.80,114.9333,82,0,-2,-10,2,10
57798,安福,江西,27.40,114.60,85.90,0,-2,-6,2,6
57799,吉安县,江西,27.05,114.9167,71.20,0,-2,-16,2,16
57800,纳雍,贵州,26.7667,105.3667,1457.10,0,-1,0,1,0
57803,黔西,贵州,27.0333,106.0167,1231.40,0,0,0,0,0
57805,织金,贵州,26.6833,105.7667,1319.30,0,-1,0,1,0
57806,安顺,贵州,26.25,105.90,1431.10,0,0,0,0,0
57807,六枝,贵州,26.20,105.4667,1361.90,0,-1,0,1,0
57808,普定,贵州,26.3167,105.75,1274.50,0,0,0,0,0
57809,镇宁,贵州,26.0667,105.75,1251,0,-1,0,1,0
57811,修文,贵州,26.8333,106.60,1296.70,0,0,-1,0,1
57813,清镇,贵州,26.5667,106.4667,1261.90,0,-1,0,1,0
57814,平坝,贵州,26.4167,106.2667,1298.20,0,-1,0,1,0
57816,贵阳,贵州,26.5833,106.7333,1223.80,0,0,-1,0,1
57818,长顺,贵州,26.0333,106.45,1140,0,-1,0,1,0
57821,福泉,贵州,26.70,107.50,925,0,-1,-3,1,3
57822,黄平,贵州,26.90,107.90,835,0,0,-6,0,6
57824,贵定,贵州,26.5833,107.2333,1001,0,0,-2,0,2
57825,凯里,贵州,26.60,107.9833,720.30,1,0,-2,1,3
57827,都匀,贵州,26.3167,107.5333,969.10,1,0,-2,1,3
57828,麻江,贵州,26.50,107.5833,983.80,1,0,1,1,0
57829,丹寨,贵州,26.20,107.80,963.20,1,0,0,1,1
57832,三穗,贵州,26.9667,108.6667,626.90,0,0,-8,0,8
57834,台江,贵州,26.6833,108.30,641.30,0,0,-1,0,1
57835,剑河,贵州,26.7167,108.4333,527.20,0,-1,-1,1,1
57837,雷山,贵州,26.40,108.0667,839,1,1,1,0,0
57839,黎平,贵州,26.2333,109.15,568.80,0,-1,-1,1,1
57840,天柱,贵州,26.90,109.20,401.40,0,-1,-7,1,7
57841,靖州,湖南,26.5667,109.6667,320.30,0,-1,-2,1,2
57842,会同,湖南,26.8833,109.7167,281.40,0,-1,-2,1,2
57844,锦屏,贵州,26.6833,109.1833,343,0,-1,-1,1,1
57845,通道,湖南,26.1667,109.7833,397.50,0,-1,-3,1,3
57846,绥宁,湖南,26.5833,110.15,310.30,0,-1,-4,1,4
57851,新宁,湖南,26.4667,110.8333,346.10,0,-1,-2,1,2
57853,武冈,湖南,26.7333,110.6333,341,0,-1,-5,1,5
57857,城步,湖南,26.3667,110.3167,477.70,0,-1,-4,1,4
57859,资源,广西,26.0333,110.6333,408.40,0,-1,0,1,0
57860,邵阳县,湖南,27,111.2833,283.30,0,-1,-5,1,5
57865,冷水滩,湖南,26.4667,111.5833,166.10,0,-1,-2,1,2
57866,永州,湖南,26.2333,111.6167,172.60,0,-2,-1,2,1
57867,东安,湖南,26.40,111.2833,169,0,-1,-1,1,1
57868,祁阳,湖南,26.60,111.8667,113.20,0,-1,-1,1,1
57870,祁东,湖南,26.80,112.10,151.60,0,-1,-1,1,1
57871,衡阳县,湖南,26.9833,112.3667,90.80,0,-1,-3,1,3
57872,衡阳,湖南,26.90,112.60,104.90,0,-1,-2,1,2
57874,常宁,湖南,26.4167,112.40,116.60,0,-1,0,1,0
57875,衡南,湖南,26.75,112.6833,137,0,-1,-1,1,1
57876,耒阳,湖南,26.4333,112.8333,135,0,-1,-2,1,2
57881,安仁,湖南,26.7167,113.25,101.80,0,-2,-1,2,1
57882,茶陵,湖南,26.7833,113.55,136.20,0,-2,-2,2,2
57883,夏坪,江西,26.75,114.2833,253,0,-2,-7,2,7
57886,炎陵,湖南,26.4833,113.80,268.80,0,-2,-2,2,2
57887,永兴,湖南,26.1167,113.1167,167.60,0,-2,-3,2,3
57889,桂东,湖南,26.0833,113.95,835.90,0,-2,-15,2,15
57891,永新,江西,26.9333,114.25,153,0,-2,-6,2,6
57894,井冈山,江西,26.5833,114.1667,843,0,-2,-7,2,7
57895,万安,江西,26.4667,114.7833,101.60,0,-2,-15,2,15
57896,遂川,江西,26.3333,114.50,126.10,0,-1,-15,1,15
57899,泰和,江西,26.80,114.9167,71.40,0,-2,-15,2,15
57900,晴隆,贵州,25.8333,105.2167,1552.70,0,-1,0,1,0
57902,兴仁,贵州,25.4333,105.1833,1378.50,0,-1,0,1,0
57903,关岭,贵州,25.9333,105.60,1142,0,-1,0,1,0
57905,贞丰,贵州,25.40,105.6333,1063.30,0,-1,0,1,0
57906,望谟,贵州,25.1833,106.0833,566.80,0,0,0,0,0
57907,兴义,贵州,25.0833,104.90,1299.60,0,-1,0,1,0
57908,安龙,贵州,25.1167,105.4833,1394.50,0,0,0,0,0
57909,册亨,贵州,24.9833,105.8167,584.80,0,0,0,0,0
57910,紫云,贵州,25.7667,106.0833,1197.60,0,0,0,0,0
57911,白云,贵州,26.6667,106.65,1323,0,-1,0,1,0
57912,惠水,贵州,26.1333,106.6333,990.90,0,-1,0,1,0
57913,龙里,贵州,26.45,106.9833,1093.70,0,0,-1,0,1
57914,花溪,贵州,26.4167,106.6667,1149,0,-1,-1,1,1
57915,乌当,贵州,26.6333,106.7667,1104,0,-1,0,1,0
57916,罗甸,贵州,25.4333,106.7667,440.30,0,0,0,0,0
57921,平塘,贵州,25.8333,107.3167,708.70,0,0,0,0,0
57922,独山,贵州,25.8333,107.55,1013.30,0,-1,0,1,0
57923,三都,贵州,25.9833,107.8667,419,0,-1,0,1,0
57926,荔波,贵州,25.4167,107.8833,428.70,0,0,0,0,0
57927,天峨,广西,24.9667,107.1833,287.30,0,0,-1,0,1
57932,榕江,贵州,25.9667,108.5333,285.70,0,-1,-1,1,1
57936,从江,贵州,25.75,108.9167,258.10,0,-1,0,1,0
57941,三江,广西,25.7833,109.60,197.30,0,-1,0,1,0
57942,龙胜,广西,25.80,110,268,0,-1,-1,1,1
57947,融安,广西,25.2167,109.40,121.30,0,-1,0,1,0
57948,融水,广西,25.0833,109.25,122.70,0,-1,0,1,0
57949,永福,广西,24.9833,110,156.80,0,-1,-2,1,2
57954,临桂,广西,25.2333,110.1833,157.60,0,-1,-1,1,1
57955,兴安,广西,25.6167,110.6667,224,0,-1,-3,1,3
57956,灵川,广西,25.4167,110.3167,167.90,0,-1,-2,1,2
57957,桂林,广西,25.3167,110.30,164.40,0,-1,-1,1,1
57958,雁山,广西,25.0833,110.3167,151.30,0,-1,-3,1,3
57960,全州,广西,25.9333,111.0667,195.60,0,-1,-1,1,1
57962,双牌,湖南,25.9667,111.65,167.80,0,-1,-2,1,2
57964,灌阳,广西,25.50,111.15,263.10,0,-2,-6,2,6
57965,道县,湖南,25.5333,111.60,192.20,0,-2,-4,2,4
57966,宁远,湖南,25.60,111.9667,244.20,0,-2,-3,2,3
57969,江永,湖南,25.2667,111.3333,227.20,0,-1,-3,1,3
57971,新田,湖南,25.9167,112.20,224.20,0,-1,-2,1,2
57972,郴州,湖南,25.80,113.0333,184.90,0,-2,-4,2,4
57973,桂阳,湖南,25.75,112.7167,329.10,0,-2,-3,2,3
57974,嘉禾,湖南,25.5833,112.3667,214.50,0,-2,-5,2,5
57975,蓝山,湖南,25.3833,112.20,277,0,-2,-2,2,2
57976,宜章,湖南,25.4167,112.95,222.80,0,-2,-5,2,5
57978,临武,湖南,25.2833,112.55,292,0,-2,-3,2,3
57981,资兴,湖南,25.9833,113.2167,139.30,0,-2,-8,2,8
57985,汝城,湖南,25.5667,113.6833,609.80,1,-1,-10,2,11
57988,乐昌,广东,25.15,113.35,102.60,1,-1,-15,2,16
57989,仁化,广东,25.0667,113.7667,112.70,3,1,-10,2,13
57990,崇义,江西,25.70,114.30,246.90,1,-1,-26,2,27
57991,上犹,江西,25.80,114.55,140.20,0,-2,-22,2,22
57992,南康,江西,25.6667,114.75,127,1,-1,-26,2,27
57993,赣县,江西,25.8667,115,137.50,2,0,-22,2,24
57994,大余,江西,25.40,114.35,215.60,3,1,-22,2,25
57995,信丰,江西,25.40,114.9333,164.20,0,-2,-33,2,33
57996,南雄,广东,25.0833,114.25,149.70,5,3,-15,2,20
58001,睢县,河南,34.4333,115.10,56.30,4,4,4,0,0
58002,曹县,山东,34.85,115.5833,49,5,5,5,0,0
58003,成武,山东,34.95,115.8833,45.40,7,7,7,0,0
58004,民权,河南,34.65,115.15,60.60,5,5,5,0,0
58005,商丘,河南,34.45,115.6667,50.10,6,6,6,0,0
58006,虞城,河南,34.3833,115.8833,46.30,6,6,6,0,0
58007,柘城,河南,34.0667,115.30,47.20,6,6,6,0,0
58008,宁陵,河南,34.4667,115.3333,54.40,5,5,5,0,0
58011,单县,山东,34.80,116.0667,46.20,7,7,7,0,0
58012,丰县,江苏,34.6833,116.5833,40.10,8,8,7,0,1
58013,沛县,江苏,34.75,116.90,36.50,8,8,7,0,1
58015,砀山,安徽,34.45,116.3333,44.20,6,6,5,0,1
58016,萧县,安徽,34.1833,116.9667,34.70,5,5,5,0,0
58017,夏邑,河南,34.25,116.1333,41,7,7,7,0,0
58020,微山,山东,34.80,117.1333,35.10,9,9,8,0,1
58021,薛城,山东,34.7833,117.2833,80.50,9,9,7,0,2
58022,峄城,山东,34.75,117.5667,48.30,8,8,5,0,3
58024,枣庄,山东,34.8667,117.5833,77.70,9,9,7,0,2
58025,台儿庄,山东,34.5667,117.7333,27.60,9,9,6,0,3
58026,邳州,江苏,34.40,118.0167,25.50,8,8,6,0,2
58027,徐州,江苏,34.2833,117.15,41.20,6,6,4,0,2
58030,苍山,山东,34.85,118.0667,45.90,10,10,7,0,3
58032,临沭,山东,34.9333,118.65,70.10,8,8,5,0,3
58034,郯城,山东,34.60,118.3167,36.20,9,9,6,0,3
58035,新沂,江苏,34.3333,118.35,29.30,6,6,2,0,4
58036,东海,江苏,34.5167,118.7333,34.70,9,9,5,0,4
58038,沭阳,江苏,34.0833,118.7833,10.40,6,6,3,0,3
58040,赣榆,江苏,34.85,119.1333,5.30,10,10,7,0,3
58041,西连岛,江苏,34.7833,119.4333,26.90,7,7,2,0,5
58044,连云港,江苏,34.5333,119.2333,4.70,9,9,5,0,4
58045,响水,江苏,34.20,119.60,4.80,7,7,3,0,4
58047,灌云,江苏,34.25,119.2333,4.80,8,8,4,0,4
58048,灌南,江苏,34.1167,119.35,4.20,6,6,2,0,4
58049,滨海,江苏,34.0167,119.80,4.10,5,5,2,0,3
58100,郸城,河南,33.65,115.1667,41.40,8,8,8,0,0
58101,鹿邑,河南,33.8667,115.4833,41.30,8,8,8,0,0
58102,亳州,安徽,33.8667,115.7667,37.70,7,7,6,0,1
58104,沈丘,河南,33.40,115.0667,41.20,8,8,6,0,2
58107,临泉,安徽,33.0167,115.2833,35.80,3,3,1,0,2
58108,界首,安徽,33.2333,115.3333,34,8,8,6,0,2
58109,太和,安徽,33.1833,115.6167,33,2,2,0,0,2
58111,永城,河南,33.9667,116.45,32.50,5,5,3,0,2
58112,天柱山,安徽,30.7333,116.45,968.20,1,32766,-5,32766,6
58113,濉溪,安徽,33.9333,116.75,31.60,5,32766,4,32766,1
58114,涡阳,安徽,33.4833,116.1833,30.40,2,2,1,0,1
58116,淮北,安徽,33.9833,116.8333,31.50,6,6,6,0,0
58117,利辛,安徽,33.1333,116.20,27.90,2,2,-4,0,6
58118,蒙城,安徽,33.2667,116.5167,26,2,2,-2,0,4
58122,宿州,安徽,33.6333,116.9833,25.90,3,3,2,0,1
58125,灵璧,安徽,33.55,117.55,23.90,4,4,3,0,1
58126,泗县,安徽,33.4667,117.8667,19.50,2,2,0,0,2
58127,怀远,安徽,32.9833,117.20,21.20,1,1,-4,0,5
58128,固镇,安徽,33.3333,117.35,21,2,2,-1,0,3
58129,五河,安徽,33.15,117.8333,14.90,2,2,-2,0,4
58130,睢宁,江苏,33.9333,117.95,23.80,5,5,4,0,1
58131,宿豫,江苏,33.9833,118.2667,27.80,5,5,2,0,3
58132,泗阳,江苏,33.7167,118.6833,14.50,3,3,1,0,2
58135,泗洪,江苏,33.4833,118.2167,16.90,1,1,-3,0,4
58138,盱眙,江苏,32.9833,118.5167,40.80,0,0,-9,0,9
58139,洪泽,江苏,33.30,118.9167,10.60,1,1,-6,0,7
58140,涟水,江苏,33.7667,119.30,9.10,5,5,3,0,2
58141,淮安,江苏,33.6333,118.9333,12.50,3,3,1,0,2
58143,阜宁,江苏,33.80,119.85,4.80,3,3,-1,0,4
58145,楚州,江苏,33.50,119.15,7.40,2,2,-2,0,4
58146,建湖,江苏,33.4667,119.7667,3,2,2,-3,0,5
58147,金湖,江苏,32.9833,118.9667,24.20,0,-1,-8,1,8
58148,宝应,江苏,33.2333,119.30,4.30,1,1,-6,0,7
58150,射阳,江苏,33.7667,120.25,2,2,2,-2,0,4
58154,盐城,江苏,33.4333,120.20,2.50,1,1,-7,0,8
58158,大丰,江苏,33.20,120.4833,3.10,1,0,-8,1,9
58202,阜南,安徽,32.6333,115.5833,31.70,3,2,-4,1,7
58203,阜阳,安徽,32.8667,115.7333,32.70,3,2,-3,1,6
58205,淮滨,河南,32.4667,115.4333,34.90,2,1,-4,1,6
58207,潢川,河南,32.1667,115.05,42.80,3,2,0,1,3
58208,固始,河南,32.1667,115.6167,42.90,2,1,-3,1,5
58210,颍上,安徽,32.65,116.2333,25.20,1,0,-6,1,7
58212,凤台,安徽,32.7167,116.7333,22,1,0,-4,1,5
58214,霍邱,安徽,32.3333,116.2833,32.90,1,1,-6,0,7
58215,寿县,安徽,32.4333,116.7833,25.70,1,0,-5,1,6
58220,长丰,安徽,32.4667,117.15,28.10,1,0,-8,1,9
58221,蚌埠,安徽,32.85,117.30,26.80,2,2,-2,0,4
58222,凤阳,安徽,32.85,117.55,24.60,1,0,-5,1,6
58223,明光,安徽,32.80,117.9833,31.40,0,-1,-6,1,6
58224,淮南,安徽,32.65,117.0167,32.60,0,-1,-7,1,7
58225,定远,安徽,32.5333,117.6667,69.60,0,-1,-6,1,6
58230,全椒,安徽,32.1167,118.2833,26.50,0,0,-11,0,11
58234,来安,安徽,32.4667,118.4167,40.40,1,0,-7,1,8
58235,六合,江苏,32.3667,118.85,10.40,1,0,-9,1,10
58236,滁州,安徽,32.35,118.25,33.50,0,0,-9,0,9
58237,浦口,江苏,32.0667,118.5833,46.60,1,1,-13,0,14
58238,南京,江苏,31.9333,118.90,35.20,0,0,-11,0,11
58240,天长,安徽,32.6833,119.0167,21.30,2,1,-6,1,8
58241,高邮,江苏,32.80,119.45,5.40,3,2,-7,1,10
58242,仪征,江苏,32.30,119.1667,22.50,0,-1,-10,1,10
58243,兴化,江苏,32.95,119.8167,3,2,1,-9,1,11
58244,江都,江苏,32.45,119.5833,5.20,1,0,-10,1,11
58245,扬州,江苏,32.4167,119.4167,9.90,1,0,-11,1,12
58246,泰州,江苏,32.55,120,2.60,0,-1,-10,1,10
58247,扬中,江苏,32.2667,119.80,5.40,1,0,-11,1,12
58249,泰兴,江苏,32.1667,120,4.40,0,-1,-10,1,10
58250,姜堰,江苏,32.5167,120.15,6.20,0,-1,-10,1,10
58251,东台,江苏,32.85,120.2833,3.30,1,0,-8,1,9
58252,丹徒,江苏,32.1833,119.4667,27.30,1,32766,-11,32766,12
58254,海安,江苏,32.5167,120.45,5.40,1,0,-11,1,12
58255,如皋,江苏,32.3667,120.5667,6.40,0,-1,-8,1,8
58257,靖江,江苏,31.9833,120.25,4.30,0,-1,-10,1,10
58259,南通,江苏,32.0833,120.9833,4.80,0,-1,-10,1,10
58264,如东,江苏,32.3333,121.1833,3.40,0,-1,-9,1,9
58265,吕泗,江苏,32.0667,121.60,3.60,0,-1,-12,1,12
58268,通州,江苏,32.10,121.0833,4.40,0,-1,-11,1,11
58269,启东,江苏,31.7833,121.65,3.30,0,-1,-12,1,12
58301,商城,河南,31.8167,115.3833,92.10,2,1,-2,1,4
58306,金寨,安徽,31.6833,115.8833,95.40,1,0,-4,1,5
58311,六安,安徽,31.7333,116.50,74.10,1,0,-4,1,5
58314,霍山,安徽,31.40,116.3167,86.40,0,-1,-4,1,4
58316,舒城,安徽,31.4667,116.9167,23.60,1,1,-8,0,9
58317,岳西,安徽,30.8667,116.3667,434.20,0,0,-4,0,4
58319,桐城,安徽,31.0667,116.95,85.40,0,0,-4,0,4
58320,肥西,安徽,31.7333,117.1333,21.80,1,1,-6,0,7
58321,合肥,安徽,31.7833,117.30,27,0,-1,-9,1,9
58323,肥东,安徽,31.8833,117.4667,25,0,-1,-10,1,10
58326,巢湖,安徽,31.5833,117.8333,30.90,1,1,-12,0,13
58327,庐江,安徽,31.2667,117.2833,45.20,1,1,-14,0,15
58329,无为,安徽,31.3333,117.8667,9.60,0,0,-12,0,12
58330,含山,安徽,31.75,118.0833,26,1,1,-12,0,13
58331,和县,安徽,31.7333,118.3667,22.50,0,0,-14,0,14
58334,芜湖,安徽,31.3833,118.3667,9.50,1,0,-10,1,11
58335,当涂,安徽,31.5667,118.5167,23.20,1,0,-9,1,10
58336,马鞍山,安徽,31.70,118.5667,80,1,0,-12,1,13
58337,繁昌,安徽,31.0833,118.1833,26.80,0,-1,-12,1,12
58338,芜湖县,安徽,31.15,118.5833,17.10,1,0,-10,1,11
58339,高淳,江苏,31.3333,118.90,15.20,1,0,-8,1,9
58340,溧水,江苏,31.65,119.0333,25.50,0,-1,-12,1,12
58341,丹阳,江苏,31.9833,119.60,6.60,1,0,-10,1,11
58342,金坛,江苏,31.7167,119.55,6.90,0,-1,-6,1,6
58343,常州,江苏,31.8833,119.9833,4.40,0,-1,-11,1,11
58344,句容,江苏,31.9667,119.20,36,1,1,-11,0,12
58345,溧阳,江苏,31.4333,119.4833,5.90,1,0,-11,1,12
58346,宜兴,江苏,31.3333,119.8167,16.40,0,-1,-14,1,14
58349,吴中,江苏,31.2667,120.6333,2.30,0,32766,-12,32766,12
58351,江阴,江苏,31.90,120.30,4.20,0,-1,-12,1,12
58352,常熟,江苏,31.65,120.7667,4.50,0,-1,-11,1,11
58353,张家港,江苏,31.8667,120.5667,8.70,0,-1,-10,1,10
58354,无锡,江苏,31.6167,120.35,3.20,0,-1,-14,1,14
58356,昆山,江苏,31.40,121,3.20,0,-1,-9,1,9
58358,东山,江苏,31.0667,120.4333,16.70,0,-1,-8,1,8
58359,吴江,江苏,31.1333,120.6167,4.70,0,32766,-8,32766,8
58360,海门,江苏,31.9167,121.20,3.30,0,-1,-10,1,10
58361,闵行,上海,31.10,121.3667,5.50,0,-1,-8,1,8
58362,宝山,上海,31.40,121.45,5.50,0,-1,-11,1,11
58365,嘉定,上海,31.3667,121.25,4.40,0,-1,-10,1,10
58366,崇明,上海,31.6333,121.40,4.50,0,-1,-15,1,15
58367,徐家汇,上海,31.20,121.4333,4.60,0,-1,-8,1,8
58369,南汇,上海,31.05,121.7833,5,0,-1,-11,1,11
58370,浦东,上海,31.2333,121.5333,4.40,0,32766,-10,32766,10
