站号,站名,省名,纬度,经度,海拔高度,平均气温,气温距平,同期对比,常年值,去年值
52957,同德,青海,35.25,100.60,3148.20,-5,4,3,-9,-8
52963,尖扎,青海,35.9333,102.0167,2085.70,-3,1,-1,-4,-2
52968,泽库,青海,35.0333,101.4667,3662.80,-10,1,3,-11,-13
52972,循化,青海,35.85,102.45,1921,-2,1,-1,-3,-1
52974,同仁,青海,35.5167,102.0167,2491.40,-5,1,-2,-6,-3
52978,夏河,甘肃,35.20,102.5167,2929.40,-10,-3,-3,-7,-7
52980,永靖,甘肃,35.9667,103.30,1648,-3,1,-1,-4,-2
52981,东乡,甘肃,35.6833,103.3833,2421,-6,1,-1,-7,-5
52982,广河,甘肃,35.4833,103.55,1953.20,-4,2,1,-6,-5
52983,榆中,甘肃,35.8667,104.15,1874.40,-5,2,1,-7,-6
52984,临夏,甘肃,35.5833,103.1833,1917.20,-4,1,2,-5,-6
52985,和政,甘肃,35.4167,103.3333,2162.80,-6,1,0,-7,-6
52986,临洮,甘肃,35.3667,103.8667,1893.80,-3,2,3,-5,-6
52988,康乐,甘肃,35.3667,103.7167,2015.80,-4,3,1,-7,-5
52993,会宁,甘肃,35.6833,105.0667,1739.40,-3,4,2,-7,-5
52995,安定,甘肃,35.5833,104.6167,1897.20,-3,3,1,-6,-4
52996,华家岭,甘肃,35.3833,105.0167,2450.60,-7,1,-1,-8,-6
52998,渭源,甘肃,35.1333,104.20,2111,-4,2,1,-6,-5
53068,二连浩特,内蒙古,43.6333,111.9333,963.10,-17,0,5,-17,-22
53083,那仁宝力格,内蒙古,44.6167,114.15,1181.60,-19,2,7,-21,-26
53149,满都拉气象站,内蒙古,42.5333,110.1333,1225.20,-18,-5,1,-13,-19
53192,阿巴嘎旗,内蒙古,44.0167,114.95,1126.10,-18,2,7,-20,-25
53195,苏尼特左旗,内蒙古,43.85,113.6333,1036.70,-18,0,7,-18,-25
53231,海力素,内蒙古,41.40,106.40,1509.60,-19,-6,-2,-13,-17
53272,苏尼特右旗,内蒙古,42.75,112.6333,1104.90,-18,-4,4,-14,-22
53276,朱日和,内蒙古,42.40,112.90,1150.80,-17,-3,6,-14,-23
53289,镶黄旗,内蒙古,42.2333,113.8333,1322.10,-20,-4,3,-16,-23
53324,乌拉特后旗,内蒙古,41.0667,107.05,1035.30,-12,0,0,-12,-12
53336,乌拉特中旗,内蒙古,41.5667,108.5167,1288,-17,-5,-2,-12,-15
53337,五原,内蒙古,41.10,108.2667,1023.70,-15,-5,-3,-10,-12
53343,白云鄂博,内蒙古,41.7667,109.9667,1612.20,-20,-6,-3,-14,-17
